[54,51,255;
55,52,255;
56,53,254;
57,54,253;
58,55,252;
59,56,252;
60,57,251;
61,58,250;
62,59,249;
63,60,248;
64,61,247;
65,62,247;
66,63,246;
67,64,245;
68,65,244;
69,66,243;
70,67,242;
71,68,242;
72,69,241;
73,70,240;
73,71,239;
74,72,238;
75,73,237;
76,74,237;
77,75,236;
78,76,235;
79,77,234;
80,78,233;
81,79,232;
82,80,232;
83,81,231;
84,82,230;
85,83,229;
86,84,228;
87,85,227;
88,86,227;
89,87,226;
90,88,225;
91,89,224;
92,90,223;
93,91,222;
94,92,221;
95,93,221;
96,94,220;
97,95,219;
98,96,218;
99,97,217;
100,98,216;
101,99,216;
102,100,215;
103,101,214;
104,102,213;
105,103,212;
105,104,211;
106,105,211;
107,106,210;
108,107,209;
109,108,208;
110,109,207;
111,110,206;
112,111,206;
113,112,205;
114,113,204;
115,114,203;
116,115,202;
117,116,201;
118,117,201;
119,118,200;
120,118,199;
120,119,198;
121,120,197;
122,121,196;
123,122,195;
124,122,194;
125,123,194;
125,124,193;
126,125,192;
127,125,191;
128,126,190;
129,127,189;
130,128,188;
131,129,188;
131,129,187;
132,130,186;
133,131,185;
134,132,184;
135,132,183;
136,133,182;
136,134,182;
137,135,181;
138,136,180;
139,136,179;
140,137,178;
141,138,177;
142,139,176;
142,139,176;
143,140,175;
144,141,174;
145,142,173;
146,142,172;
147,143,171;
148,144,170;
148,145,170;
149,146,169;
150,146,168;
151,147,167;
152,148,166;
153,149,165;
153,149,164;
154,150,164;
155,151,163;
156,152,162;
157,153,161;
158,153,160;
159,154,159;
159,155,158;
160,156,157;
161,156,157;
162,157,156;
163,158,155;
164,159,154;
164,160,153;
165,160,152;
166,161,151;
167,162,151;
168,163,150;
169,163,149;
170,164,148;
170,165,147;
171,165,146;
172,165,145;
173,165,144;
173,166,143;
174,166,142;
175,166,141;
175,166,140;
176,167,139;
177,167,138;
178,167,137;
178,167,135;
179,167,134;
180,168,133;
180,168,132;
181,168,131;
182,168,130;
183,169,129;
183,169,128;
184,169,127;
185,169,126;
185,170,125;
186,170,124;
187,170,123;
188,170,122;
188,170,121;
189,171,120;
190,171,119;
190,171,118;
191,171,116;
192,172,115;
193,172,114;
193,172,113;
194,172,112;
195,173,111;
195,173,110;
196,173,109;
197,173,108;
198,173,107;
198,174,106;
199,174,105;
200,174,104;
200,174,103;
201,175,102;
202,175,101;
203,175,100;
203,175,99;
204,176,98;
205,176,96;
205,176,95;
206,176,94;
207,176,93;
208,177,92;
208,177,91;
209,177,90;
210,177,89;
210,178,88;
211,178,87;
212,178,86;
213,178,85;
213,179,84;
214,179,83;
215,179,82;
215,179,81;
216,179,79;
217,178,78;
217,177,77;
218,176,76;
219,174,74;
219,173,73;
220,172,72;
220,171,71;
221,170,69;
222,169,68;
222,168,67;
223,167,66;
224,166,64;
224,165,63;
225,164,62;
226,163,61;
226,162,59;
227,161,58;
227,160,57;
228,159,55;
229,158,54;
229,157,53;
230,156,52;
231,155,50;
231,154,49;
232,153,48;
232,152,47;
233,151,45;
234,150,44;
234,149,43;
235,148,42;
236,147,40;
236,146,39;
237,145,38;
237,144,37;
238,143,35;
239,142,34;
239,141,33;
240,140,32;
241,139,30;
241,138,29;
242,137,28;
243,136,26;
243,135,25;
244,134,24;
244,133,23;
245,132,21;
246,131,20;
246,130,19;
247,129,18;
248,128,16;
248,127,15;
249,126,14;
249,125,13;
250,124,11;
251,123,10;
251,122,9;
252,121,8;
253,120,6;
253,119,5;
254,118,4;
255,117,3;
255,116,1;
255,115,0]
